experiment,reference,scope,unit_id,comparison,classifier,accuracy_reference,accuracy_experiment,delta_accuracy
e3_all_extensions,poster_baseline,intra,irene,rest2_vs_type2,KFDA,0.7666666666666667,0.7333333333333333,-0.03333333333333344
e3_all_extensions,poster_baseline,intra,irene,rest2_vs_type2,LDA,0.7,0.7166666666666666,0.016666666666666607
e3_all_extensions,poster_baseline,intra,irene,rest2_vs_type2,RBF-SVM,0.75,0.7166666666666666,-0.03333333333333344
e3_all_extensions,poster_baseline,intra,jh,rest1_vs_type1,KFDA,0.7166666666666667,0.8333333333333334,0.1166666666666667
e3_all_extensions,poster_baseline,intra,jh,rest1_vs_type1,LDA,0.6666666666666666,0.8333333333333334,0.16666666666666674
e3_all_extensions,poster_baseline,intra,jh,rest1_vs_type1,RBF-SVM,0.6166666666666666,0.8333333333333334,0.21666666666666679
e3_all_extensions,poster_baseline,intra,jh,rest2_vs_type2,KFDA,0.6166666666666666,0.6333333333333334,0.01666666666666683
e3_all_extensions,poster_baseline,intra,jh,rest2_vs_type2,LDA,0.6166666666666666,0.6,-0.016666666666666607
e3_all_extensions,poster_baseline,intra,jh,rest2_vs_type2,RBF-SVM,0.6333333333333334,0.6333333333333334,0.0
e3_all_extensions,poster_baseline,intra,lin,rest1_vs_type1,KFDA,0.9333333333333333,0.9333333333333333,0.0
e3_all_extensions,poster_baseline,intra,lin,rest1_vs_type1,LDA,0.9166666666666666,0.9166666666666666,0.0
e3_all_extensions,poster_baseline,intra,lin,rest1_vs_type1,RBF-SVM,0.9333333333333333,0.9333333333333333,0.0
e3_all_extensions,poster_baseline,intra,lin,rest2_vs_type2,KFDA,0.8333333333333333,0.85,0.01666666666666672
e3_all_extensions,poster_baseline,intra,lin,rest2_vs_type2,LDA,0.8333333333333334,0.9,0.06666666666666665
e3_all_extensions,poster_baseline,intra,lin,rest2_vs_type2,RBF-SVM,0.8333333333333334,0.85,0.016666666666666607
e3_all_extensions,poster_baseline,intra,pftest,rest1_vs_type1,KFDA,0.95,0.95,0.0
e3_all_extensions,poster_baseline,intra,pftest,rest1_vs_type1,LDA,0.95,0.95,0.0
e3_all_extensions,poster_baseline,intra,pftest,rest1_vs_type1,RBF-SVM,0.95,0.95,0.0
e3_all_extensions,poster_baseline,intra,pftest,rest2_vs_type2,KFDA,0.8333333333333334,0.8166666666666667,-0.01666666666666672
e3_all_extensions,poster_baseline,intra,pftest,rest2_vs_type2,LDA,0.8333333333333334,0.8333333333333334,0.0
e3_all_extensions,poster_baseline,intra,pftest,rest2_vs_type2,RBF-SVM,0.8333333333333334,0.8333333333333334,0.0
e3_all_extensions,poster_baseline,intra,yen,rest1_vs_type1,KFDA,0.8,0.7333333333333334,-0.06666666666666665
e3_all_extensions,poster_baseline,intra,yen,rest1_vs_type1,LDA,0.75,0.7,-0.050000000000000044
e3_all_extensions,poster_baseline,intra,yen,rest1_vs_type1,RBF-SVM,0.8166666666666667,0.7666666666666666,-0.050000000000000044
e3_all_extensions,poster_baseline,intra,yen,rest2_vs_type2,KFDA,0.5333333333333334,0.5333333333333334,0.0
e3_all_extensions,poster_baseline,intra,yen,rest2_vs_type2,LDA,0.5666666666666667,0.4666666666666667,-0.09999999999999998
e3_all_extensions,poster_baseline,intra,yen,rest2_vs_type2,RBF-SVM,0.5166666666666667,0.4833333333333334,-0.033333333333333326
e3_all_extensions,poster_baseline,inter,irene,rest1_vs_type1,LDA,0.4833333333333333,0.7166666666666667,0.2333333333333334
e3_all_extensions,poster_baseline,inter,irene,rest1_vs_type1,RBF-SVM,0.5,0.7,0.19999999999999996
e3_all_extensions,poster_baseline,inter,irene,rest1_vs_type1,KFDA,0.5,0.7166666666666667,0.21666666666666667
e3_all_extensions,poster_baseline,inter,jh,rest1_vs_type1,LDA,0.6166666666666667,0.5333333333333333,-0.08333333333333337
e3_all_extensions,poster_baseline,inter,jh,rest1_vs_type1,RBF-SVM,0.6333333333333333,0.5333333333333333,-0.09999999999999998
e3_all_extensions,poster_baseline,inter,jh,rest1_vs_type1,KFDA,0.6166666666666667,0.5333333333333333,-0.08333333333333337
e3_all_extensions,poster_baseline,inter,lin,rest1_vs_type1,LDA,0.4833333333333333,0.6,0.1166666666666667
e3_all_extensions,poster_baseline,inter,lin,rest1_vs_type1,RBF-SVM,0.5,0.6166666666666667,0.1166666666666667
e3_all_extensions,poster_baseline,inter,lin,rest1_vs_type1,KFDA,0.5166666666666667,0.6333333333333333,0.11666666666666659
e3_all_extensions,poster_baseline,inter,pftest,rest1_vs_type1,LDA,0.5,0.6833333333333333,0.18333333333333335
e3_all_extensions,poster_baseline,inter,pftest,rest1_vs_type1,RBF-SVM,0.5,0.6333333333333333,0.1333333333333333
e3_all_extensions,poster_baseline,inter,pftest,rest1_vs_type1,KFDA,0.5,0.6333333333333333,0.1333333333333333
e3_all_extensions,poster_baseline,inter,yen,rest1_vs_type1,LDA,0.5333333333333333,0.7,0.16666666666666663
